Cargo selecionado;Idade;Organizacao;Lideranca;Proatividade;Empatia;Respeito;Facilidade com o sist;Raciocicinio logico;Competencia do func
Desenvolvedor Java;18;5;7;1;1;4;5;8;Bom
Analista de projetos jr;20;1;0;6;8;1;7;6;Ótimo
Desenvolvedor Mobile;25;5;8;4;2;4;2;1;Bom
Modelador de dados;23;0;4;5;3;9;6;0;Regular
Analista financeiro;18;0;9;3;7;8;6;10;Ruim
Auxiliar depto pessoal;19;9;0;7;10;6;9;5;Bom
Analista de contas;21;7;4;3;9;10;6;1;Ótimo
Represent comercial;21;0;2;0;3;4;8;9;Bom
Auxiliar de marketing;22;3;4;5;7;6;7;9;Péssimo
Analista banco de dados;24;5;0;9;4;2;1;9;Ótimo
Front-end;26;7;9;2;3;2;6;0;Ruim
Projetista de software;18;4;0;5;8;3;9;9;Bom
Auxiliar de contas a pagar;20;6;10;5;3;0;9;7;Bom
Desenvolvedor Java;21;3;6;3;5;5;4;0;Ótimo
Analista de projetos jr.;20;5;1;4;3;2;5;5;Regular
Desenvolvedor Mobile;19;3;8;10;7;6;5;8;Regular
Modelador de dados;23;4;8;4;2;4;10;1;Bom
Analista financeiro;24;2;10;8;3;7;4;9;Ótimo
Auxiliar depto. pessoal;21;4;10;9;1;8;3;2;Ruim
Analista de contas;18;1;1;4;6;10;2;2;Péssimo
Represent. comercial;19;10;6;6;7;5;2;6;Bom
Auxiliar de marketing;25;9;8;6;6;4;1;1;Ótimo
Analista banco de dados;23;4;5;9;9;8;3;3;Bom
Front-end;26;6;3;4;6;7;2;6;Bom
Projetista de software;22;5;4;6;5;2;2;6;Regular
Auxiliar de contas a pagar;21;6;0;5;6;8;10;1;Bom
Desenvolvedor Java;20;6;5;3;6;9;2;9;Péssimo
Analista de projetos jr.;18;0;1;0;5;8;10;5;Ótimo
Desenvolvedor Mobile;20;2;5;4;3;7;5;5;Ruim
Modelador de dados;22;2;9;7;2;3;4;2;Bom
Analista financeiro;23;9;2;8;10;8;5;10;Bom
Auxiliar depto. pessoal;21;0;3;1;5;7;5;10;Ótimo
Analista de contas;22;5;4;6;7;0;6;7;Regular
Represent. comercial;18;4;5;6;7;0;7;5;Regular
Auxiliar de marketing;20;3;2;7;10;8;0;0;Bom
Analista banco de dados;26;8;3;4;5;10;2;10;Ótimo
Front-end;27;8;8;4;9;3;9;7;Ruim
Projetista de software;24;0;10;8;5;9;0;2;Péssimo
Auxiliar de contas a pagar;25;10;10;5;2;2;0;6;Bom
Desenvolvedor Java;24;2;10;10;4;2;10;2;Ótimo
